iter	Passed	Remaining
818	1056	233
819	1058	232
820	1059	230
821	1060	229
822	1062	228
823	1063	227
824	1064	225
825	1065	224
826	1066	223
827	1068	221
828	1070	220
829	1071	219
830	1072	218
831	1073	216
832	1074	215
833	1075	214
834	1077	212
835	1078	211
836	1079	210
837	1080	208
838	1082	207
839	1083	206
840	1086	205
841	1087	204
842	1088	202
843	1089	201
844	1090	200
845	1092	198
846	1093	197
847	1094	196
848	1095	194
849	1096	193
850	1097	192
851	1099	190
852	1100	189
853	1101	188
854	1103	187
855	1104	185
856	1105	184
857	1106	183
858	1107	181
859	1109	180
860	1111	179
861	1112	178
862	1114	176
863	1115	175
864	1117	174
865	1118	173
866	1119	171
867	1120	170
868	1122	169
869	1123	167
870	1124	166
871	1125	165
872	1126	163
873	1127	162
874	1129	161
875	1131	160
876	1132	158
877	1133	157
878	1134	156
879	1135	154
880	1137	153
881	1138	152
882	1139	151
883	1140	149
884	1141	148
885	1143	147
886	1145	145
887	1146	144
888	1147	143
889	1148	142
890	1150	140
891	1152	139
892	1154	138
893	1156	137
894	1158	135
895	1160	134
896	1162	133
897	1163	132
898	1165	130
899	1166	129
900	1168	128
901	1170	127
902	1171	125
903	1172	124
904	1174	123
905	1175	121
906	1176	120
907	1177	119
908	1178	117
909	1179	116
910	1181	115
911	1183	114
912	1184	112
913	1185	111
914	1186	110
915	1187	108
916	1189	107
917	1190	106
918	1191	105
919	1192	103
920	1193	102
921	1195	101
922	1196	99
923	1197	98
924	1199	97
925	1200	95
926	1202	94
927	1203	93
928	1205	92
929	1206	90
930	1207	89
931	1208	88
932	1209	86
933	1211	85
934	1212	84
935	1213	82
936	1214	81
937	1215	80
938	1216	79
939	1218	77
940	1219	76
941	1220	75
942	1221	73
943	1222	72
944	1223	71
945	1224	69
946	1226	68
947	1227	67
948	1228	66
949	1229	64
950	1230	63
951	1231	62
952	1232	60
953	1234	59
954	1235	58
955	1236	56
956	1237	55
957	1238	54
958	1239	52
959	1240	51
960	1242	50
961	1243	49
962	1244	47
963	1245	46
964	1246	45
965	1247	43
966	1249	42
967	1250	41
968	1251	40
969	1252	38
970	1253	37
971	1254	36
972	1255	34
973	1256	33
974	1257	32
975	1258	30
976	1259	29
977	1260	28
978	1262	27
979	1263	25
980	1264	24
981	1265	23
982	1266	21
983	1268	20
984	1269	19
985	1269	18
986	1271	16
987	1272	15
988	1273	14
989	1274	12
990	1275	11
991	1276	10
992	1278	9
993	1279	7
994	1280	6
995	1281	5
996	1282	3
997	1283	2
998	1284	1
999	1286	0
